rank,word,pos,gender,ko,freq,cum_pct,region,cefr
1,de,prep,,~의/~에서,0.0650,6.50,R1,A1
2,la,art,f,그(여),0.0450,11.00,R1,A1
3,que,conj,,~라는 것/무엇,0.0430,15.30,R1,A1
4,el,art,m,그(남),0.0380,19.10,R1,A1
5,en,prep,,~에/~안에,0.0310,22.20,R1,A1
6,y,conj,,그리고,0.0300,25.20,R1,A1
7,a,prep,,~에게/~로,0.0290,28.10,R1,A1
8,los,art,m,그(남·복수),0.0180,29.90,R1,A1
9,se,pron,,재귀대명사,0.0170,31.60,R1,A1
10,del,prep,,de+el,0.0140,33.00,R1,A1
11,las,art,f,그(여·복수),0.0130,34.30,R1,A1
12,un,art,m,하나의(남),0.0120,35.50,R1,A1
13,por,prep,,~에 의해/~때문에,0.0110,36.60,R1,A1
14,con,prep,,~와 함께,0.0100,37.60,R1,A1
15,no,adv,,아니/않다,0.0095,38.55,R1,A1
16,una,art,f,하나의(여),0.0090,39.45,R1,A1
17,su,det,,그의/그녀의,0.0085,40.30,R1,A1
18,para,prep,,~을 위해,0.0080,41.10,R1,A1
19,es,verb,,이다(ser 3인칭),0.0078,41.88,R1,A1
20,al,prep,,a+el,0.0070,42.58,R1,A1
21,lo,pron,,그것을,0.0068,43.26,R1,A1
22,como,adv,,~처럼/어떻게,0.0065,43.91,R1,A1
23,más,adv,,더,0.0060,44.51,R1,A1
24,o,conj,,또는,0.0055,45.06,R1,A1
25,pero,conj,,그러나,0.0052,45.58,R1,A1
26,sus,det,,그의(복수),0.0050,46.08,R1,A1
27,le,pron,,그에게,0.0048,46.56,R1,A1
28,ha,verb,,haber 3인칭,0.0046,47.02,R1,A2
29,me,pron,,나를/나에게,0.0045,47.47,R1,A1
30,si,conj,,만약,0.0043,47.90,R1,A1
31,sin,prep,,~없이,0.0040,48.30,R1,A1
32,sobre,prep,,~위에/~에 관해,0.0038,48.68,R1,A1
33,este,det,m,이(남),0.0037,49.05,R1,A1
34,ya,adv,,이미,0.0036,49.41,R1,A1
35,entre,prep,,~사이에,0.0034,49.75,R1,A1
36,cuando,conj,,~할 때,0.0033,50.08,R1,A1
37,todo,det,m,모든,0.0032,50.40,R1,A1
38,esta,det,f,이(여),0.0031,50.71,R1,A1
39,ser,verb,,이다,0.0030,51.01,R1,A1
40,son,verb,,이다(ser 3인칭 복수),0.0029,51.30,R1,A1
41,dos,num,,둘,0.0028,51.58,R1,A1
42,también,adv,,또한,0.0027,51.85,R1,A1
43,fue,verb,,이었다/갔다,0.0026,52.11,R1,A2
44,había,verb,,있었다,0.0025,52.36,R1,A2
45,era,verb,,이었다(ser 불완료),0.0024,52.60,R1,A2
46,muy,adv,,매우,0.0023,52.83,R1,A1
47,años,noun,m,해(복수),0.0022,53.05,R1,A1
48,hasta,prep,,~까지,0.0021,53.26,R1,A1
49,desde,prep,,~부터,0.0020,53.46,R1,A1
50,está,verb,,있다(estar 3인칭),0.0019,53.65,R1,A1
51,mi,det,,나의,0.0018,53.83,R1,A1
52,porque,conj,,왜냐하면,0.0017,54.00,R1,A1
53,qué,pron,,무엇,0.0017,54.17,R1,A1
54,sólo,adv,,오직,0.0016,54.33,R1,A1
55,han,verb,,haber 3인칭 복수,0.0016,54.49,R1,A2
56,yo,pron,,나,0.0015,54.64,R1,A1
57,hay,verb,,있다(존재),0.0015,54.79,R1,A1
58,vez,noun,f,번/회,0.0014,54.93,R1,A1
59,puede,verb,,할 수 있다,0.0014,55.07,R1,A1
60,todos,det,m,모두,0.0013,55.20,R1,A1
61,así,adv,,그렇게,0.0013,55.33,R1,A1
62,nos,pron,,우리를,0.0012,55.45,R1,A1
63,ni,conj,,~도 아닌,0.0012,55.57,R1,A2
64,parte,noun,f,부분,0.0011,55.68,R1,A2
65,tiene,verb,,가지다(tener 3인칭),0.0011,55.79,R1,A1
66,él,pron,,그,0.0011,55.90,R1,A1
67,uno,num,m,하나,0.0010,56.00,R1,A1
68,donde,adv,,~하는 곳,0.0010,56.10,R1,A1
69,bien,adv,,잘,0.0010,56.20,R1,A1
70,tiempo,noun,m,시간/날씨,0.0010,56.30,R1,A1
71,mismo,adj,m,같은,0.0009,56.39,R1,A2
72,ese,det,m,그(남),0.0009,56.48,R1,A1
73,ahora,adv,,지금,0.0009,56.57,R1,A1
74,cada,det,,각각의,0.0009,56.66,R1,A1
75,e,conj,,그리고(i 앞),0.0008,56.74,R1,A2
76,vida,noun,f,삶,0.0008,56.82,R1,A1
77,otro,det,m,다른,0.0008,56.90,R1,A1
78,después,adv,,나중에,0.0008,56.98,R1,A1
79,te,pron,,너를/너에게,0.0008,57.06,R1,A1
80,otros,det,m,다른(복수),0.0007,57.13,R1,A1
81,aunque,conj,,비록,0.0007,57.20,R1,A2
82,esa,det,f,그(여),0.0007,57.27,R1,A1
83,eso,pron,,그것,0.0007,57.34,R1,A1
84,hace,verb,,하다(hacer 3인칭),0.0007,57.41,R1,A1
85,otra,det,f,다른(여),0.0007,57.48,R1,A1
86,gobierno,noun,m,정부,0.0006,57.54,R2,B1
87,tan,adv,,그렇게,0.0006,57.60,R1,A1
88,durante,prep,,~동안,0.0006,57.66,R1,A2
89,siempre,adv,,항상,0.0006,57.72,R1,A1
90,día,noun,m,날,0.0006,57.78,R1,A1
91,tanto,adv,,그만큼,0.0006,57.84,R1,A2
92,ella,pron,,그녀,0.0006,57.90,R1,A1
93,tres,num,,셋,0.0006,57.96,R1,A1
94,sí,adv,,네,0.0006,58.02,R1,A1
95,dijo,verb,,말했다,0.0005,58.07,R1,A2
96,sido,verb,,ser 과거분사,0.0005,58.12,R1,A2
97,gran,adj,,큰/위대한,0.0005,58.17,R1,A1
98,país,noun,m,나라,0.0005,58.22,R1,A1
99,según,prep,,~에 따르면,0.0005,58.27,R1,A2
100,menos,adv,,덜,0.0005,58.32,R1,A1
101,mundo,noun,m,세계,0.0005,58.37,R1,A1
102,año,noun,m,해/년,0.0005,58.42,R1,A1
103,antes,adv,,이전에,0.0005,58.47,R1,A1
104,estado,noun,m,상태/국가,0.0005,58.52,R1,A2
105,contra,prep,,~에 반대하여,0.0005,58.57,R1,A2
106,sino,conj,,~이 아니라,0.0004,58.61,R1,A2
107,forma,noun,f,형태,0.0004,58.65,R1,A2
108,caso,noun,m,경우,0.0004,58.69,R1,A2
109,nada,pron,,아무것도,0.0004,58.73,R1,A1
110,hacer,verb,,하다,0.0004,58.77,R1,A1
111,general,adj,,일반적인,0.0004,58.81,R1,A2
112,estaba,verb,,있었다,0.0004,58.85,R1,A2
113,poco,adv,,조금,0.0004,58.89,R1,A1
114,estos,det,m,이(남·복수),0.0004,58.93,R1,A1
115,presidente,noun,m,대통령,0.0004,58.97,R2,B1
116,mayor,adj,,더 큰/연장의,0.0004,59.01,R1,A2
117,ante,prep,,~앞에,0.0004,59.05,R2,B1
118,unos,art,m,몇몇의(남),0.0004,59.09,R1,A1
119,les,pron,,그들에게,0.0004,59.13,R1,A1
120,algo,pron,,무언가,0.0004,59.17,R1,A1
121,hacia,prep,,~쪽으로,0.0004,59.21,R1,A2
122,casa,noun,f,집,0.0004,59.25,R1,A1
123,ellos,pron,,그들,0.0004,59.29,R1,A1
124,ayer,adv,,어제,0.0004,59.33,R1,A1
125,hecho,noun,m,사실,0.0004,59.37,R1,A2
126,primera,adj,f,첫 번째(여),0.0004,59.41,R1,A1
127,mucho,adv,,많이,0.0004,59.45,R1,A1
128,mientras,conj,,~하는 동안,0.0003,59.48,R1,A2
129,además,adv,,게다가,0.0003,59.51,R1,A2
130,quien,pron,,누구,0.0003,59.54,R1,A1
131,momento,noun,m,순간,0.0003,59.57,R1,A1
132,millones,noun,m,백만(복수),0.0003,59.60,R2,A2
133,esto,pron,,이것,0.0003,59.63,R1,A1
134,España,noun,f,스페인,0.0003,59.66,R1,A1
135,hombre,noun,m,남자,0.0003,59.69,R1,A1
136,están,verb,,있다(estar 3인칭 복수),0.0003,59.72,R1,A1
137,pues,conj,,그러면/음,0.0003,59.75,R1,A2
138,hoy,adv,,오늘,0.0003,59.78,R1,A1
139,lugar,noun,m,장소,0.0003,59.81,R1,A1
140,madrid,noun,m,마드리드,0.0003,59.84,R2,A1
141,nacional,adj,,국가의,0.0003,59.87,R2,B1
142,trabajo,noun,m,일,0.0003,59.90,R1,A1
143,otras,det,f,다른(여·복수),0.0003,59.93,R1,A1
144,mejor,adj,,더 좋은,0.0003,59.96,R1,A1
145,nuevo,adj,m,새로운,0.0003,59.99,R1,A1
146,decir,verb,,말하다,0.0003,60.02,R1,A1
147,algunos,det,m,몇몇,0.0003,60.05,R1,A1
148,entonces,adv,,그때/그러면,0.0003,60.08,R1,A1
149,todas,det,f,모든(여·복수),0.0003,60.11,R1,A1
150,días,noun,m,날(복수),0.0003,60.14,R1,A1
151,debe,verb,,해야 한다,0.0003,60.17,R1,A2
152,política,noun,f,정치,0.0003,60.20,R2,B1
153,cómo,adv,,어떻게,0.0003,60.23,R1,A1
154,casi,adv,,거의,0.0003,60.26,R1,A1
155,toda,det,f,모든(여),0.0003,60.29,R1,A1
156,tal,adj,,그러한,0.0003,60.32,R1,A2
157,luego,adv,,나중에,0.0003,60.35,R1,A1
158,pasado,noun,m,과거,0.0003,60.38,R1,A2
159,primer,adj,m,첫 번째,0.0003,60.41,R1,A1
160,medio,noun,m,중간/수단,0.0003,60.44,R1,A2
161,va,verb,,가다(ir 3인칭),0.0003,60.47,R1,A1
162,estas,det,f,이(여·복수),0.0003,60.50,R1,A1
163,sea,verb,,ser 접속법,0.0003,60.53,R2,B1
164,tenía,verb,,가지고 있었다,0.0003,60.56,R1,A2
165,nunca,adv,,결코,0.0003,60.59,R1,A1
166,poder,verb,,할 수 있다,0.0003,60.62,R1,A1
167,aquí,adv,,여기,0.0003,60.65,R1,A1
168,ver,verb,,보다,0.0003,60.68,R1,A1
169,veces,noun,f,번(복수),0.0003,60.71,R1,A1
170,embargo,noun,m,sin embargo=그러나,0.0003,60.74,R1,A2
171,partido,noun,m,정당/경기,0.0003,60.77,R2,A2
172,personas,noun,f,사람들,0.0003,60.80,R1,A1
173,grupo,noun,m,그룹,0.0003,60.83,R1,A1
174,cuenta,noun,f,계산/계좌,0.0003,60.86,R1,A2
175,pueden,verb,,할 수 있다(복수),0.0003,60.89,R1,A1
176,tienen,verb,,가지다(복수),0.0003,60.92,R1,A1
177,misma,adj,f,같은(여),0.0003,60.95,R1,A2
178,nueva,adj,f,새로운(여),0.0003,60.98,R1,A1
179,cual,pron,,어느,0.0003,61.01,R1,A2
180,poco,adj,m,적은,0.0003,61.04,R1,A1
181,mañana,noun,f,아침/내일,0.0003,61.07,R1,A1
182,tras,prep,,~뒤에,0.0003,61.10,R2,B1
183,punto,noun,m,점,0.0003,61.13,R1,A2
184,mujer,noun,f,여자,0.0003,61.16,R1,A1
185,importante,adj,,중요한,0.0003,61.19,R1,A1
186,quiero,verb,,원한다,0.0003,61.22,R1,A1
187,gracias,noun,f,감사,0.0003,61.25,R1,A1
188,hola,interj,,안녕,0.0003,61.28,R1,A1
189,amigo,noun,m,친구,0.0003,61.31,R1,A1
190,agua,noun,f,물,0.0003,61.34,R1,A1
191,comer,verb,,먹다,0.0003,61.37,R1,A1
192,familia,noun,f,가족,0.0003,61.40,R1,A1
